UqID,ID,Region,Location,Contract Type,Property Type,Years,Bedrooms,Bathrooms,Land Size (SQM),Build Size (SQM),FSR,Price IDR,Price ($),Price/SQM ($),Price/Year ($),Availability,Sold Date,Scrape Date,Days listed,Off plan
126,LAZ116765,South Badung,Pecatu,Leasehold,Villa,,1,,200,,,2244105000,150251,,,Sold,Sep/23,Jun/23,,Available
127,LAZ92115,Gianyar,Ubud,Leasehold,Villa,,1,1,264,,,2506418878,167814,,,Sold,Sep/23,Jun/23,92,Available
128,BP510L,South Badung,Bingin,Leasehold,Villa,,1,,5,,,2420000000,145215,,,Available,,Sep/25,,Available
129,78f404cd-93dd-41c8-ab5c-0c103d644bea,Mengwi,Pererenan,Leasehold,Villa,,1,1,90,,,2574000000,154455,,,Available,,Sep/25,,Available
130,BB-B892,Central Badung,Seminyak,Leasehold,Villa,,1,1,141,,,3925000000,235524,,,Available,,Sep/25,,Available
131,BB-B891,Central Badung,Seminyak,Leasehold,Villa,,1,1,141,,,4845000000,290729,,,Available,,Sep/25,,Available
132,BB-B897,Mengwi,Cemagi,Leasehold,Villa,,1,1,120,,,2100000000,126278,,,Available,,Oct/25,,Available
133,V009-2094,Central Badung,Seminyak,Freehold,Villa,,2,2,200,,,1800000000,118032,,,Sold,Feb/23,Jan/23,31,Available
134,V004-0334,North Badung,Padonan,Freehold,Villa,,2,2,100,,,2300000000,150819,,,Sold,Jun/23,Jan/23,151,Available
135,V001-0224,North Badung,Bumbak,Freehold,Villa,,2,2,255,,,3200000000,209835,,,Sold,Apr/23,Jan/23,90,Available
136,V015-4028,Mengwi,Cemagi,Freehold,Villa,,2,2,205,,,3500000000,229507,,,Sold,May/23,Jan/23,120,Available
137,,North Badung,Berawa,Freehold,Villa,,2,2,,,,4121733000,270277,,,Available,,Jan/23,,Available
138,,North Badung,Umalas,Freehold,Villa,,2,2,,,,4862319000,318840,,,Available,,Jan/23,,Available
139,V011-0373,Central Badung,Seminyak,Freehold,Villa,,2,3,286,,,5700000000,373769,,,Available,,Jan/23,,Available
140,,North Badung,Berawa,Freehold,Villa,,2,2,,,,6288513000,412360,,,Available,,Jan/23,,Available
141,,Tabanan,Other Tabanan,Freehold,Villa,,2,2,,,,9247623000,606400,,,Available,,Jan/23,,Available
142,LAZ113933,South Badung,Uluwatu,Freehold,Villa,,2,2,140,,,1800000000,118972,,,Sold,Aug/23,Feb/23,,Off Plan
