DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE IDR,RATE USD,MONTHLY IDR,MONTHLY USD,TOTAL REVENUE
Jan/22,North Badung,Canggu,Villa,Professional,5,21,21.4%,"Rp9,431,076",$656,"Rp51,870,919","$3,607","$72,143"
Mar/25,Denpasar,Sanur,Guest House,Individual ,1,336,39.4%,"Rp415,408",$25,"Rp4,208,212",$254,"$72,170"
Dec/23,North Badung,Canggu,Guest House,Individual ,2,,49.1%,"Rp1,686,023",$110,"Rp11,337,613",$736,"$72,172"
Sep/25,Gianyar,Ubud,Guest House,Individual ,2,108,37.4%,"Rp1,248,276",$75,"Rp15,041,643",$903,"$72,208"
Apr/23,Central Badung,Legian,Villa,Professional,3,41,39.0%,"Rp2,846,714",$194,"Rp36,516,446","$2,490","$72,211"
Feb/23,Gianyar,Ubud,Villa,Professional,6,8,75.0%,"Rp7,647,651",$502,"Rp157,323,100","$10,320","$72,238"
Mar/23,Other,Amed,Villa,Individual ,2,,63.0%,"Rp1,597,480",$107,"Rp25,188,134","$1,680","$72,254"
Jun/22,Tabanan,Tabanan,Villa,Individual ,1,94,43.2%,"Rp1,212,306",$81,"Rp13,128,424",$881,"$72,274"
Oct/25,Central Badung,Kuta,Villa,Individual ,1,95,34.7%,"Rp1,415,954",$85,"Rp14,311,261",$861,"$72,288"
Jan/24,North Badung,Canggu,Apartment,Individual ,2,41,66.0%,"Rp1,830,571",$116,"Rp30,011,784","$1,902","$72,294"
Nov/25,South Badung,Jimbaran,Villa,Professional,5,16,0.0%,"Rp8,137,502",$489,"Rp86,025,020","$5,165","$72,312"
May/23,Other,Candidasa,Villa,Professional,4,,37.8%,"Rp10,625,163",$709,"Rp120,418,496","$8,036","$72,323"
May/25,Mengwi,Mengwi,Villa,Professional,1,50,64.4%,"Rp1,607,965",$99,"Rp26,787,186","$1,644","$72,353"
Dec/23,Central Badung,Kuta,Guest House,Individual ,1,218,60.7%,"Rp481,482",$31,"Rp5,333,228",$346,"$72,402"
May/22,Denpasar,Sanur,Villa,Individual ,1,85,44.2%,"Rp1,245,276",$85,"Rp13,894,625",$953,"$72,428"
Apr/23,North Badung,Kerobokan,Villa,Professional,2,28,65.0%,"Rp2,783,260",$190,"Rp39,377,905","$2,685","$72,500"
May/24,Gianyar,Ubud,Villa,Professional,2,30,59.1%,"Rp2,804,295",$173,"Rp45,300,181","$2,789","$72,503"
Feb/23,North Badung,Padonan,Apartment,Individual ,2,39,83.4%,"Rp1,755,883",$115,"Rp29,897,475","$1,961","$72,562"
Dec/24,Central Badung,Legian,Villa,Professional,6,5,85.1%,"Rp9,802,781",$609,"Rp162,726,161","$10,113","$72,593"
Mar/23,Non Bali,Lombok,Villa,Individual ,2,,58.3%,"Rp1,933,084",$129,"Rp25,309,870","$1,688","$72,603"
Jun/22,Central Badung,Legian,Villa,Professional,3,39,49.4%,"Rp2,731,472",$183,"Rp32,777,726","$2,201","$72,619"
Oct/25,Other,CandiDasa,Villa,Individual ,4,11,50.7%,"Rp8,105,482",$487,"Rp109,792,407","$6,602","$72,623"
Dec/21,Gianyar,Ubud,Villa,Professional,3,24,66.6%,"Rp3,089,906",$217,"Rp45,005,178","$3,158","$72,640"
Aug/24,Central Badung,Legian,Villa,Professional,2,30,56.8%,"Rp2,464,220",$159,"Rp37,456,143","$2,424","$72,730"
Jan/24,Central Badung,Kuta,Villa,Individual ,4,26,44.5%,"Rp4,205,787",$267,"Rp47,840,856","$3,033","$72,785"
Dec/21,South Badung,Jimbaran,Villa,Individual ,2,66,49.2%,"Rp1,826,173",$128,"Rp16,464,576","$1,155","$72,791"
Aug/23,Central Badung,Kuta,Guest House,Individual ,1,174,56.2%,"Rp473,633",$31,"Rp7,107,589",$467,"$72,826"
Aug/22,Non Bali,Lombok,Villa,Individual ,2,,54.8%,"Rp1,959,673",$132,"Rp29,236,241","$1,970","$72,894"
Aug/24,Other,Nusa Lembongan,Villa,Professional,3,7,96.7%,"Rp5,494,159",$356,"Rp160,900,373","$10,414","$72,900"
Oct/24,Central Badung,Kuta,Villa,Individual ,2,52,41.2%,"Rp2,183,322",$139,"Rp26,606,022","$1,696","$72,917"
Jun/23,North Badung,Kerobokan,Villa,Professional,2,27,69.4%,"Rp2,713,342",$181,"Rp42,056,852","$2,806","$72,947"
Jan/24,Other,Candidasa,Villa,Individual ,4,20,30.3%,"Rp7,938,659",$503,"Rp63,950,327","$4,054","$72,970"
Oct/21,North Badung,Kerobokan,Villa,Individual ,5,28,45.5%,"Rp5,469,136",$386,"Rp49,222,200","$3,475","$72,973"
Mar/23,North Badung,Kerobokan,Villa,Professional,2,31,59.5%,"Rp3,162,462",$211,"Rp36,473,775","$2,433","$72,996"
Aug/23,Other,Nusa Lembongan,Guest House,Professional,2,,47.6%,"Rp1,452,924",$95,"Rp18,221,076","$1,197","$73,004"
